Time,BPM,GSR,EmotionState
14:59:06,81,413,Relax
14:59:07,81,419,Relax
14:59:08,81,418,Relax
14:59:08,81,411,Relax
14:59:09,81,407,Relax
14:59:10,81,406,Relax
14:59:10,82,410,Relax
14:59:11,84,392,Relax
14:59:12,87,393,Relax
14:59:12,90,390,Relax
14:59:13,92,382,Relax
14:59:13,94,376,Relax
14:59:14,89,374,Relax
14:59:15,87,367,Relax
14:59:16,87,369,Relax
14:59:17,88,366,Relax
14:59:17,88,365,Relax
14:59:18,87,361,Relax
14:59:19,86,357,Relax
14:59:19,84,364,Relax
14:59:20,84,361,Relax
14:59:21,81,371,Relax
14:59:21,86,378,Relax
14:59:22,89,380,Relax
14:59:23,90,375,Relax
14:59:23,88,378,Relax
14:59:24,87,376,Relax
14:59:25,86,385,Relax
14:59:26,86,387,Relax
14:59:26,90,370,Relax
14:59:26,94,373,Relax
14:59:27,96,368,Relax
14:59:28,95,371,Relax
14:59:28,93,374,Relax
14:59:29,93,381,Relax
14:59:30,93,388,Relax
14:59:30,94,378,Relax
14:59:31,95,384,Relax
14:59:32,93,389,Relax
